Date;Open;High;Low;Close;Volume;Adj Close;lnret
1/08/03;13579;13579;13130;13130;0;13130;-0,033109159
4/08/03;13128;13128;12757;12939;0;12939;-0,014653682
5/08/03;12940;13112;12940;13059;0;13059;0,009231545
6/08/03;13060;13188;12839;12888;0;12888;-0,013180905
7/08/03;12892;13350;12892;13328;0;13328;0,03357044
8/08/03;13333;13513;13333;13500;0;13500;0,0128226
11/08/03;13500;13582;13442;13560;0;13560;0,004434597
12/08/03;13559;13766;13553;13602;0;13602;0,003092558
13/08/03;13597;13858;13542;13682;0;13682;0,00586426
14/08/03;13683;13849;13529;13812;0;13812;0,009456679
15/08/03;13810;13952;13744;13890;0;13890;0,005631377
18/08/03;13900;14147;13900;14146;0;14146;0,018262742
19/08/03;14147;14236;14091;14158;0;14158;0,000847937
20/08/03;14158;14506;14058;14467;0;14467;0,021590358
21/08/03;14470;14687;14398;14670;0;14670;0,013934399
22/08/03;14670;14765;14589;14613;0;14613;-0,003893049
25/08/03;14613;14714;14426;14473;0;14473;-0,009626699
26/08/03;14475;14948;14425;14878;0;14878;0,027598767
27/08/03;14876;15143;14876;15143;0;15143;0,017654767
28/08/03;15151;15252;14929;15065;0;15065;-0,005164206
29/08/03;15065;15197;14857;15174;0;15174;0,007209264
1/09/03;15174;15374;15075;15352;0;15352;0,011662322
2/09/03;15352;15475;15321;15454;0;15454;0,006622111
3/09/03;15455;15690;15455;15634;0;15634;0,01158016
4/09/03;15635;15884;15564;15705;0;15705;0,004531103
5/09/03;15707;15951;15610;15900;0;15900;0,012339976
8/09/03;15904;16239;15895;16050;0;16050;0,00938974
9/09/03;16051;16062;15699;15718;0;15718;-0,020902297
10/09/03;15716;15997;15492;15983;0;15983;0,016719105
11/09/03;15985;16454;15985;16292;0;16292;0,019148532
12/09/03;16283;16508;16058;16421;0;16421;0,007886814
15/09/03;16423;16601;16277;16342;0;16342;-0,004822523
16/09/03;16354;16496;16258;16270;0;16270;-0,00441556
17/09/03;16280;16492;16225;16492;0;16492;0,013552494
18/09/03;16492;16911;16424;16889;0;16889;0,023787108
19/09/03;16890;17104;16822;16851;0;16851;-0,00225252
22/09/03;16850;16850;16450;16486;0;16486;-0,021898466
23/09/03;16488;16542;16226;16444;0;16444;-0,002550867
24/09/03;16446;16636;16053;16058;0;16058;-0,023753501
25/09/03;16058;16203;15775;15806;0;15806;-0,015817553
26/09/03;15807;16113;15773;15811;0;15811;0,000316286
29/09/03;15810;16115;15768;16109;0;16109;0,018672222
30/09/03;16109;16287;16010;16011;0;16011;-0,006102136
1/10/03;16010;16609;16010;16579;0;16579;0,034860848
2/10/03;16582;17070;16582;16894;0;16894;0,018821695
3/10/03;16898;17290;16898;17089;0;17089;0,011476452
6/10/03;17090;17346;17026;17273;0;17273;0,010709607
7/10/03;17278;17537;17134;17470;0;17470;0,011340535
8/10/03;17474;17952;17474;17805;0;17805;0,018994193
9/10/03;17805;18060;17553;17708;0;17708;-0,005462802
10/10/03;17699;17834;17496;17676;0;17676;-0,001808728
13/10/03;17676;18075;17676;18062;0;18062;0,021602497
14/10/03;18063;18246;18063;18178;0;18178;0,006401788
15/10/03;18176;18313;17819;17942;0;17942;-0,013067739
16/10/03;17944;18075;17834;17955;0;17955;0,000724295
17/10/03;17923;17946;17679;17791;0;17791;-0,009175916
20/10/03;17791;18399;17770;18370;0;18370;0,032026188
21/10/03;18370;18660;18370;18449;0;18449;0,004291269
22/10/03;18449;18449;18221;18235;0;18235;-0,011667344
23/10/03;18235;18235;17592;17690;0;17690;-0,030343316
24/10/03;17687;17835;17340;17814;0;17814;0,006985157
27/10/03;17820;17964;17664;17750;0;17750;-0,003599149
28/10/03;17750;18228;17691;18228;0;18228;0,026573357
29/10/03;18228;18454;17945;17945;0;17945;-0,015647349
30/10/03;17945;18193;17731;18094;0;18094;0,008268867
31/10/03;18095;18218;17912;17982;0;17982;-0,006209134
3/11/03;17983;18517;17983;18517;0;18517;0,029317971
4/11/03;18519;18714;18456;18541;0;18541;0,001295267
5/11/03;18545;18563;18267;18307;0;18307;-0,012700996
6/11/03;18307;18680;18307;18613;0;18613;0,016576761
7/11/03;18614;18907;18614;18672;0;18672;0,003164814
10/11/03;18672;18725;18435;18572;0;18572;-0,005370005
11/11/03;18572;18572;18261;18409;0;18409;-0,008815395
12/11/03;18409;18812;18352;18794;0;18794;0,020697994
13/11/03;18795;19115;18677;18755;0;18755;-0,002077286
14/11/03;18763;19052;18712;18986;0;18986;0,012241482
17/11/03;18985;18985;18648;18669;0;18669;-0,016837471
18/11/03;18669;19022;18669;18813;0;18813;0,007683726
19/11/03;18819;18857;18610;18807;0;18807;-0,000318979
20/11/03;18815;19262;18815;19199;0;19199;0,020629053
21/11/03;19197;19376;19144;19248;0;19248;0,002548965
24/11/03;19258;19730;19258;19691;0;19691;0,022754519
25/11/03;19694;19820;19615;19810;0;19810;0,006025182
26/11/03;19810;20002;19667;19695;0;19695;-0,005822064
27/11/03;19695;19961;19616;19961;0;19961;0,013415573
